title,genres,date_added,release_year,duration,imdb_score,img,type,histId
10 Things I Hate About You,"Comedy, Coming of Age, Romance",2019-11-12,1999,98 min,7.2,https://flixable.b-cdn.net/disney-plus/small/us/10-things-i-hate-about-you.png,movies,1.5
101 Dalmatian Street,"Action-Adventure, Animation, Comedy",2020-02-28,2018,1 Season,5.7,https://flixable.b-cdn.net/disney-plus/small/us/101-dalmatian-street.png,series,8.5
101 Dalmatians,"Action-Adventure, Animals & Nature, Family",2019-11-12,1996,104 min,5.9,https://flixable.b-cdn.net/disney-plus/small/us/101-dalmatians-2.png,movies,6.5
101 Dalmatians,"Action-Adventure, Animation, Family",2019-11-12,1961,81 min,7.4,https://flixable.b-cdn.net/disney-plus/small/us/101-dalmatians.png,movies,3.5
101 Dalmatians II: Patch's London Adventure,"Action-Adventure, Animation",2019-11-12,2003,77 min,5.8,https://flixable.b-cdn.net/disney-plus/small/us/101-dalmatians-ii-patchs-london-adventure.png,movies,2.5
102 Dalmatians,"Action-Adventure, Animals & Nature, Family",2019-11-12,2000,104 min,4.6,https://flixable.b-cdn.net/disney-plus/small/us/102-dalmatians.png,movies,1
12 Dates of Christmas,"Comedy, Family, Fantasy",2019-11-12,2011,88 min,6.1,https://flixable.b-cdn.net/disney-plus/small/us/12-dates-of-christmas.png,movies,-8
"20,000 Leagues Under the Sea","Action-Adventure, Family, Science Fiction",2019-11-12,1954,127 min,7.1,https://flixable.b-cdn.net/disney-plus/small/us/20000-leagues-under-the-sea.png,movies,18.5
700 Sharks,"Animals & Nature, Documentary",2021-01-01,2018,45 min,6.8,https://flixable.b-cdn.net/disney-plus/small/us/700-sharks.png,movies,-7
700 Sharks,"Animals & Nature, Documentary",2021-01-01,2018,45 min,6.8,https://flixable.b-cdn.net/disney-plus/small/us/700-sharks.png,movies,-6
8 Simple Rules,Comedy,2022-05-20,2002,2 Seasons,7.1,https://flixable.b-cdn.net/disney-plus/small/us/8-simple-rules.png,series,34.5
80s Top Ten,Docuseries,2021-12-31,2022,1 Season,7.5,https://flixable.b-cdn.net/disney-plus/small/us/80s-top-ten.png,series,3.5
A Bug's Life,"Animation, Comedy, Family",2019-11-12,1998,98 min,7.1,https://flixable.b-cdn.net/disney-plus/small/us/a-bugs-life.png,movies,1.5
A Celebration of the Music from Coco,"Concert Film, Music, Musical",2020-04-10,2020,48 min,7.1,https://flixable.b-cdn.net/disney-plus/small/us/a-celebration-of-the-music-from-coco.png,movies,-35.5
A Funny Thing Happened on the Way to Thor's Hammer,"Action-Adventure, Comedy",2022-01-21,2011,4 min,7.3,https://flixable.b-cdn.net/disney-plus/small/us/a-funny-thing-happened-on-the-way-to-thors-hammer.png,movies,-2.5
