"","titel","nieuw","kijken","soort","jaar","seizoenen","categorie","imdb","trailer","___id___","date","imdb_score"
"1","Brian and the Boz","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2014," ","Sport","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Brian+and+the+Boz"" target=""_blank"">6.5</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Brian+and+the+Boz"" target=""_blank"">Trailer</a>","2379251",2014-01-01,6.5
"2","De Dirigent","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2019," ","Biografie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=De+Dirigent"" target=""_blank"">7.3</a>","<a href=""https://www.youtube.com/results?search_query=trailer+De+Dirigent"" target=""_blank"">Trailer</a>","2379252",2019-01-01,7.3
"3","Encanto","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2021," ","Animatie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Encanto"" target=""_blank"">IMDb</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Encanto"" target=""_blank"">Trailer</a>","2379253",2021-01-01,NA
"4","King Arthur","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2004," ","Actie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=King+Arthur"" target=""_blank"">6.3</a>","<a href=""https://www.youtube.com/results?search_query=trailer+King+Arthur"" target=""_blank"">Trailer</a>","2379254",2004-01-01,6.3
"5","Life of Pi","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2012," ","Avontuur","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Life+of+Pi"" target=""_blank"">7.9</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Life+of+Pi"" target=""_blank"">Trailer</a>","2379255",2012-01-01,7.9
"6","Little Miss Sunshine","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2006," ","Komedie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Little+Miss+Sunshine"" target=""_blank"">7.8</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Little+Miss+Sunshine"" target=""_blank"">Trailer</a>","2379256",2006-01-01,7.8
"7","Silly Little Game","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2010," ","Animatie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Silly+Little+Game"" target=""_blank"">6.6</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Silly+Little+Game"" target=""_blank"">Trailer</a>","2379257",2010-01-01,6.6
"8","Survive and Advance","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2013," ","Sport","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Survive+and+Advance"" target=""_blank"">8.6</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Survive+and+Advance"" target=""_blank"">Trailer</a>","2379258",2013-01-01,8.6
"9","The Birth of Big Air","24/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2010," ","Sport","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=The+Birth+of+Big+Air"" target=""_blank"">6</a>","<a href=""https://www.youtube.com/results?search_query=trailer+The+Birth+of+Big+Air"" target=""_blank"">Trailer</a>","2379259",2010-01-01,6
"10","American Horror Story","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2011,"S10 Afl. 8","Horror","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=American+Horror+Story"" target=""_blank"">8</a>","<a href=""https://www.youtube.com/results?search_query=trailer+American+Horror+Story"" target=""_blank"">Trailer</a>","2379260",2011-01-01,8
"11","Black-ish","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2014,"S7 Afl. 19","Komedie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Black-ish"" target=""_blank"">7.1</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Black-ish"" target=""_blank"">Trailer</a>","2379261",2014-01-01,7.1
"12","Dopesick","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2021,"S1 Afl. 8","Drama","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Dopesick"" target=""_blank"">8.8</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Dopesick"" target=""_blank"">Trailer</a>","2379262",2021-01-01,8.8
"13","Feud: Bette and Joan","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2017,"Seizoen 1","Biografie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Feud:+Bette+and+Joan"" target=""_blank"">8.5</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Feud:+Bette+and+Joan"" target=""_blank"">Trailer</a>","2379263",2017-01-01,8.5
"14","Hawkeye","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2021,"S1 Afl. 6","Actie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Hawkeye"" target=""_blank"">8.1</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Hawkeye"" target=""_blank"">Trailer</a>","2379264",2021-01-01,8.1
"15","Peacemaker","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2020,"Seizoen 1","Thriller","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Peacemaker"" target=""_blank"">7.3</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Peacemaker"" target=""_blank"">Trailer</a>","2379265",2020-01-01,7.3
"16","The Big Leap","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2021,"S1 Afl. 4","Komedie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=The+Big+Leap"" target=""_blank"">7.2</a>","<a href=""https://www.youtube.com/results?search_query=trailer+The+Big+Leap"" target=""_blank"">Trailer</a>","2379266",2021-01-01,7.2
"17","The Pier","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2019,"Seizoen 1-2","Mystery","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=The+Pier"" target=""_blank"">7.2</a>","<a href=""https://www.youtube.com/results?search_query=trailer+The+Pier"" target=""_blank"">Trailer</a>","2379267",2019-01-01,7.2
"18","The Wonder Years","22/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Serie",2021,"S1 Afl. 1","Komedie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=The+Wonder+Years"" target=""_blank"">5.6</a>","<a href=""https://www.youtube.com/results?search_query=trailer+The+Wonder+Years"" target=""_blank"">Trailer</a>","2379268",2021-01-01,5.6
"19","Arendelle Castle Yule Log: Cut Paper Edition","17/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2021," ","Animatie","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Arendelle+Castle+Yule+Log:+Cut+Paper+Edition"" target=""_blank"">IMDb</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Arendelle+Castle+Yule+Log:+Cut+Paper+Edition"" target=""_blank"">Trailer</a>","2379269",2021-01-01,NA
"20","De Hel van '63","17/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2009," ","Drama","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=De+Hel+van+'63"" target=""_blank"">6.3</a>","<a href=""https://www.youtube.com/results?search_query=trailer+De+Hel+van+'63"" target=""_blank"">Trailer</a>","2379270",2009-01-01,6.3
"21","Hawaiian: The Legend of Eddie Aikau","17/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2013," ","Sport","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Hawaiian:+The+Legend+of+Eddie+Aikau"" target=""_blank"">6.1</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Hawaiian:+The+Legend+of+Eddie+Aikau"" target=""_blank"">Trailer</a>","2379271",2013-01-01,6.1
"22","Pearl Harbor","17/12/2021","<a href=""https://disneyplus.bn5x.net/doGqMK"" target=""_blank"">Kijken</a>","Film",2001," ","Geschiedenis","<a href=""https://www.imdb.com/find?ref_=nv_sr_fn&q=Pearl+Harbor"" target=""_blank"">6.2</a>","<a href=""https://www.youtube.com/results?search_query=trailer+Pearl+Harbor"" target=""_blank"">Trailer</a>","2379272",2001-01-01,6.2
